title,paper,authors,year,model name,model class,parametrization,multiple losses,multi-task learning,architecture,left-truncation,interval-censoring,CR,MSM,RE,TVF,TVE,high dimensionality,multimodality,interpretability,code,datasets,min dataset size,simulation,active learning,semi-supervised learning,PASS,comments,scribbles,,,,,,,,
Transformer-Based Deep Survival Analysis,https://proceedings.mlr.press/v146/hu21a.html,S. Hu et al.,2021,Hu2021,discrete-time,discrete hazard,yes,???,transformer,no,no,no,no,no,no,no,no,no,no,no,"METABRIC, SUPPORT",1904 (METABRIC),no,no,no,PASS,,"(entropy-based loss + discordant-pair-penalization loss);  actually the complement of the discrete hazard, 1-h, is parametrized",,,,,,,,
SurvTRACE: Transformers for Survival Analysis with Competing Events,https://doi.org/10.1145/3535508.3545521,Z. Wang,2021,SurvTRACE,discrete-time,discrete hazard,yes,yes,transformer,no,no,no,no,no,no,no,no,no,attention maps,https://github.com/RyanWangZf/SurvTRACE,"METABRIC, SUPPORT",1904 (METABRIC),no,no,no,PASS,,"(PC-Hazard-style loss + entropy-based loss + MSE-based loss)
primarily the discrete hazard is parametrized, but there is more (auxiliary classification + regression tasks)",,,,,,,,
Deep learning for the dynamic prediction of multivariate longitudinal and survival data,https://doi.org/10.1002/sim.9392,J. Lin and S. Luo,2022,TransformerJM,discrete-time,PMF,yes,yes,transformer,no,no,no,no,no,yes,no,no,no,no,no,"ADNI, NACC",1068,yes,no,no,PASS,,"seems like discrete time, but not explicitly stated; plus NLL loss (censoring adjusted log-loss for the survival loss);
parametrization not clearly defined, from Figure 5 looks like they predict the (conditional) PMF directly. Similar to deephit.",,,,,,,,
Deep Cox Mixtures for Survival Regression,https://proceedings.mlr.press/v149/nagpal21a,C. Nagpal et al.,2021,DCM,Cox-based,hazard rate,yes,???,VAE,no,no,no,no,no,no,no,no,no,no,"https://github.com/chiragnagpal/deep_cox_mixtures, https://autonlab.org/auton-survival","FLCHAIN, SEER, SUPPORT",6524 (FLCHAIN),no,no,no,PASS,,(extended + modified),,,,,,,,
Improved survival analysis by learning shared genomic information from pan-cancer data,https://doi.org/10.1093/bioinformatics/btaa462,S. Kim et al.,2020,VAECox,Cox-based,hazard rate,yes,???,VAE + transfer learning,no,no,no,no,no,no,no,yes,no,no,https://github.com/SunkyuKim/VAECox,"TCGA (BLCA, BRCA, HNSC, KIRC, LGG, LIHC, LUAD, LUSC, OV, STAD, CESC, COAD, GBM, KIRP, LAML, PAAD, PRAD, SKCM, THCA, UCEC)",9127 (combined for pre-training),no,no,no,PASS,,multiple losses b/c RMSE + KLD loss for VAE part (pretraining/encoding) and Cox loss for survival part (fine-tuning),,,,,,,,
SAVAE: Leveraging the variational Bayes autoencoder for survival analysis,https://doi.org/10.1038/s41598-024-76047-z,P. Apellániz et al.,2023,SAVAE,parametric,parameters of differentiable time distribution,yes,no,VAE,no,no,no,no,no,no,no,no,no,BP,https://github.com/Patricia-A-Apellaniz/savae," FLCHAIN, GBSG, METABRIC, NWTCO, PBC, PNEUMON, STD, SUPPORT, WHAS",418 (PBC),no,no,no,PASS,,could be applied to high dim; could be extended to multimodality due to using the VAE architecture,,,,,,,,"could be applied to high dim, could be extended to multimodality due to using the VAE architecture"
A Hierarchical Approach to Multi-Event Survival Analysis,https://doi.org/10.1609/aaai.v35i1.16138,D. Tjandra et al.,2021,Tja2021,discrete-time,PMF,yes,no,FFNN (hierarchical),no,no,yes,yes,no,no,no,no,no,no,https://gitlab.eecs.umich.edu/mld3/hierarchicalsurvival-analysis,"ADNI, MIMIC-III, SEER",1604 (ADNI),yes,no,no,PASS,,,,,,,,,,
Single-Cell Spatial Analysis of Histopathology Images for Survival Prediction via Graph Attention Network,https://doi.org/10.1007/978-3-031-47076-9_12,Z. Li et al.,2023,CCL-GAT,Cox-based,hazard rate,no,no,Graph Attention Network,no,no,no,no,no,no,no,no,yes,integrated gradients,no,TCGA (STAD),309,no,no,no,PASS,,,,,,,,,,
AdvMIL: Adversarial multiple instance learning for the survival analysis on whole-slide images,https://doi.org/10.1016/j.media.2023.103020,P. Liu et al.,2024,AdvMIL,GAN-based,???,yes,no,GAN,no,no,no,no,no,no,no,no,yes,no,https://github.com/liupei101/AdvMIL,"NLST, TCGA (BRCA, LGG)",447 (NLST),no,no,yes,PASS,,,,,,,,,,
PiDeeL: metabolic pathway-informed deep learning model for survival analysis and pathological classification of gliomas,https://doi.org/10.1093/bioinformatics/btad684,G. Kaynar et al.,2023,PiDeeL,Cox-based,hazard rate,no,no,FFNN,no,no,no,no,no,no,no,yes,no,"SHAP, PA",https://github.com/ciceklab/PiDeeL,HRMAS NMR,513,yes,no,no,PASS,,,,,,,,,,
CenTime: Event-conditional modelling of censoring in survival analysis,https://doi.org/10.1016/j.media.2023.103016,A. Shahin et al.,2024,CenTime,discrete-time,parameters of discrete Gaussian distribution,no,no,CNN,no,yes,no,no,no,no,no,no,yes,no,https://github.com/ahmedhshahin/CenTime,OPIC,728,no,no,no,PASS,,,,,,,,,,
Bayesian parametric models for survival prediction in medical applications,https://doi.org/10.1186/s12874-023-02059-4,I. Paolucci et al.,2023,BPS,parametric,parameters of Weibull or Exponential distribution,no,no,FFNN,no,no,no,no,no,no,no,no,no,no,https://github.com/ipa/pymc-survival,"ACTG, GBCS, PBC, Veteran, WHAS",137 (Veteran),no,no,no,PASS,,Bayesian,,,,,,,,
A Study on Survival Analysis Methods Using Neural Network to Prevent Cancers,https://doi.org/10.3390/cancers15194757,C. Bae et al.,2023,nDeep,Cox-based,hazard rate,yes,yes,RNN,no,no,no,no,no,no,no,no,no,PFI,https://github.com/ngocdung03/nDeep,The Korean Cancer Prevention Study-II Biobank,160407,no,no,no,PASS,,Cox loss + ranking loss,,,,,,,,
Survival Prediction After Transarterial Chemoembolization for Hepatocellular Carcinoma: a Deep Multitask Survival Analysis Approach,https://doi.org/10.1007/s41666-023-00139-0,G. Huang et al.,2023,DMSM,discrete-time,???,yes,yes,FFNN,no,no,no,no,no,no,no,no,no,FI,https://github.com/AIcqu/DMSM1,SYSUCC,979,no,no,yes,PASS,,censoring as unsupervised,,,,,,,,
DeepPseudo: Pseudo Value Based Deep Learning Models for Competing Risk Analysis,https://doi.org/10.1609/aaai.v35i1.16125,M. Rahman et al.,2021,DeepPseudo,???,???,no,no,FFNN,no,no,yes,no,no,no,yes,no,no,LRP,https://github.com/umbc-sanjaylab/DeepPseudo AAAI2021,"SEER, WIHS",1164 (WIHS),yes,no,no,PASS,,,,,,,,,,
Pseudo value-based Deep Neural Networks for Multi-state Survival Analysis,https://arxiv.org/abs/2207.05291,M. Rahman and S. Purushotham,2022,msPseudo,???,???,no,no,FFNN,no,no,yes,yes,no,no,no,no,no,no,no,"METABRIC, EBMT",1975 (METABRIC),yes,no,no,PASS,,,,,,,,,,
Neural Fine-Gray: Monotonic neural networks for competing risks,https://proceedings.mlr.press/v209/jeanselme23a.html,V. Jeanselme et al.,2023,Neural Fine-Gray,other,Cumulative Incidence Function,no,yes,Monotonic NN,no,no,yes,no,no,no,yes,no,yes,no,https://github.com/Jeanselme/NeuralFineGray,"PBC, FRAMINGHAM, SEER",312 (PBC),yes,no,no,PASS,,,,,,,,,,
CR-SAVAE: A Parametric Method for Survival Analysis with Competing Risks,https://eurasip.org/Proceedings/Eusipco/Eusipco2024/pdfs/0001526.pdf,P. Apellániz et al.,2024,CR-SAVAE,parametric,parameters of differentiable time distribution,yes,no,VAE,no,no,yes,no,no,no,no,no,no,BP,https://github.com/Patricia-A-Apellaniz/cr-savae,"Melanoma, MGUS2, EBMT",205 (Melanoma),no,no,no,PASS,,could be applied to high dim and extended to multimodality due to using the VAE architecture,,,,,,,,
Deep learning-assisted survival prognosis in renal cancer: A CT scan-based personalized approach,https://doi.org/10.1016/j.heliyon.2024.e24374,M. Mahootiha et al.,2024,Mah2024,discrete-time,discrete hazard,no,,CNN,no,no,no,no,no,yes,yes,no,yes,no,https://github.com/Balasingham-AI-Group/Survival_Analysis_Kidney_Cancer,KiTS21,300,no,no,no,PASS,,"(images only, no inclusion of clinical/tabular data!)",,,,,,,,
TripleSurv: Triplet Time-Adaptive Coordinate Learning Approach for Survival Analysis,https://doi.org/10.1109/TKDE.2024.3450910,L. Zhang et al.,2024,TripleSurv,???,???,yes,,FFNN,no,no,no,no,no,no,no,no,no,no,no,"SUPPORT, BIDDING, METABRIC, MNIST",???,no,no,no,PASS,,min dataset unknown because only arxiv version (which does not contain the relevant appendix) is accessible,,,,,,,,
NecroGlobalGCN: Integrating micronecrosis information in HCC prognosis prediction via graph convolutional neural networks,https://doi.org/10.1016/j.cmpb.2024.108435,B. Deng et al.,2024,NecroGlobalGCN,discrete-time,discrete hazard,no,,GCN,no,no,no,no,no,no,no,yes,yes,attention maps,no,TCGA (LIHC),285,no,no,no,PASS,,"(images only, no inclusion of clinical/tabular data!)",,,,,,,,
GD-Net: An Integrated Multimodal Information Model Based on Deep Learning for Cancer Outcome Prediction and Informative Feature Selection,https://doi.org/10.1111/jcmm.70221,J. Lin et al.,2024,GD-Net,Cox-based,hazard rate,yes,,GCN,no,no,no,no,no,no,no,yes,yes,FI (computed via XGBoost module),https://github.com/JackiLin/GD-Net,"TCGA (ESCA, LGG, LIHC, LUAD, PAAD, READ, STAD, UCEC)",80 (READ),no,no,no,PASS,,,,,,,,,,
DySurv: dynamic deep learning model for survival analysis with conditional variational inference,https://doi.org/10.1093/jamia/ocae271,M. Mesinovic et al.,2024,DySurv,discrete-time,discrete hazard,yes,,conditional VAE,no,no,no,no,no,yes,no,no,yes,no,https://github.com/munibmesinovic/DySurv,"GBSG, METABRIC, NWTCO, sac3, sac_admin5, SUPPORT, MIMIC-IV, eICU",1904 (METABRIC),no,no,no,PASS,,,,,,,,,,
Penalized deep partially linear cox models with application to CT scans of lung cancer patients,https://doi.org/10.1093/biomtc/ujad024,Sun et al. ,2024,Penalized DPLC,Cox-based,hazard rate,no,,FFNN,no,no,no,no,no,no,no,no,yes,classical,no,NLST,368,yes,no,no,PASS,,"code available at Biometrics (no access), model class, parametrization and architecture unsure (Mona)",,,,,,,,
Transformer-based time-to-event prediction for chronic kidney disease deterioration,https://doi.org/10.1093/jamia/ocae025,M. Zisser and D. Aran,2024,STRAFE,discrete-time,discrete hazard ,yes,,transformer,no,no,no,no,no,no,no,no,no,yes,https://github.com/dviraran/STRAFE,Elevance Health Digital Data Sandbox powered by Carelon Digital Platforms,136027,no,no,no,PASS,,"Data is electronic health care data with 35 million members, after filtering min dataset size of 136027 was used, could be applied to high dim data",,,,,,,,
Deep Neural Network-Based Accelerated Failure Time Models Using Rank Loss,https://doi.org/10.1002/sim.10235,G. Kim et al.,2024,DeepR-AFT,semiparametric AFT model,parameters of semiparametric AFT model,no,,flexible,no,no,no,no,no,no,no,no,no,no,no,"NB-SEQ, FL-CHAIN, SEER",4778 (NB-SEQ),yes,no,no,PASS,,,,,,,,,,
Weighted Expectile Regression Neural Networks for Right Censored Data,https://doi.org/10.1002/sim.10221,F. Zhang et al.,2024,WERNN,expectile regression-based,???,no,,FFNN,no,no,no,no,no,no,no,no,no,no,no,WHAS,500,no,no,no,PASS,,,,,,,,,,
AESurv: autoencoder survival analysis for accurate early prediction of coronary heart disease,https://doi.org/10.1093/bib/bbae479,Y. Shen et al.,2024,AESurv,Cox-based,hazard rate,yes,,AE,no,no,no,no,no,no,no,yes,no,embedding plots,https://github.com/YikeShen/AESurv,"Strong Heart Study, WHI",2107 (WHI),no,no,no,PASS,,,,,,,,,,
BioFusionNet: Deep Learning-Based Survival Risk Stratification in ER+ Breast Cancer Through Multifeature and Multimodal Data Fusion,https://arxiv.org/abs/2402.10717,R. Mondol et al.,2024,BioFusionNet,Cox-based,hazard rate,yes,,transformer,no,no,no,no,no,no,no,yes,yes,"attention maps, SHAP",https://github.com/raktim-mondol/ BioFusionNet,TCGA (BRCA),249,no,no,no,PASS,,1 survival loss + other losses for feature extraction from images,,,,,,,,
A Kernel Attention-based Transformer Model for Survival Prediction of Heart Disease Patients,https://doi.org/10.1007/s12265-024-10537-3,P. Kaushal et al.,2024,CosAttnSurv(+DyACT),discrete-time,discrete hazard,no,,transformer,no,no,no,no,no,no,no,no,no,no,no,"GRACE, COST",514 (COST),no,no,no,PASS,,,,,,,,,,
An uncertainty‑based interpretable deep learning framework for predicting breast cancer outcome,https://doi.org/10.1186/s12859-024-05716-7,H. Chai et al.,2024,UISNet,Cox-based,hazard rate,yes,,FFNN,no,no,no,no,no,no,no,yes,no,FI,https://github.com/chh171/UISNet,"TCGA (BRCA), GEO (GSE2990, GSE9195, GSE11121, GSE17705, GSE19615, GSE25066)",129 (GEO GSE19615),no,no,yes,PASS,,,,,,,,,,
A comparison between centralized and asynchronous federated learning approaches for survival outcome prediction using clinical and PET data from non-small cell lung cancer patients,https://doi.org/10.1016/j.cmpb.2024.108104,V. Vo et al.,2024,DeepFedSurv,???,???,no,,FFNN,no,no,no,no,no,no,no,no,yes,no,no,RNSCLC,211,no,no,no,PASS,,,,,,,,,,
ResDeepSurv: A Survival Model for Deep Neural Networks Based on Residual Blocks and Self-attention Mechanism,https://doi.org/10.1007/s12539-024-00617-y,Y. Wang et al.,2024,ResDeepSurv,Cox-based,hazard rate,no,,FFNN + residual blocks + attention,no,no,no,no,no,no,no,no,no,no,https://github.com/HaoWuLab-Bioinformatics/ResDeepSurv,"GBSG, METABRIC, SUPPORT, WHAS",1638 (WHAS),yes,no,no,PASS,,,,,,,,,,
A novel non-negative Bayesian stacking modeling method for Cancer survival prediction using high-dimensional omics data,https://doi.org/10.1186/s12874-024-02232-3,J. Shen et al.,2024,She2024,scoring rules (IBS loss),???,no,,FFNN,no,no,no,no,no,no,no,yes,no,no,https://github.com/JasonLnzi/A-Bayesian-Stacking-Modeling-Method-for-Survival-Prediction-Using-High-dimensional-Data/tree/main,"TCGA (BRCA, OV), METABRIC",415 (TCGA OV),yes,no,no,PASS,,,,,,,,,,
A transformer model for cause-specific hazard prediction,https://doi.org/10.1186/s12859-024-05799-2,M. Oliver et al.,2024,Oli2024,discrete-time,discrete hazard,no,no,transformer,no,no,yes,no,no,no,yes,no,no,no,https://github.com/USM-CHU-FGuyon/cause_specific_hazard_transformer/tree/master,ELSA,3564,yes,no,no,PASS,,Loss based on: https://tomer1812.github.io/pydts/methods/ (According to DTCRloss-file in github repo) ,,,,,,,,
Weakly-supervised preclinical tumor localization associated with survival prediction from lung cancer screening Chest X-ray images,https://doi.org/10.1016/j.compmedimag.2024.102395,R. Hermoza et al.,2024,Her2024,discrete-time,discrete hazard,no,no,CNN,no,no,no,no,no,yes,no,no,yes,saliency maps,no,NLST,15244,no,no,yes,PASS,,,,,,,,,,
EnoUTSurv: Encoder-Based Universal Transformer for Survival Analysis-A Case Study on Right Censored Heart Failure Data,https://doi.org/10.1007/s13369-024-09093-4,P. Kaushal and S. Singh,2024,EnoUTSurv,discrete-time,PMF,yes,no,transformer,no,no,no,no,no,no,no,no,no,no,no,Heart Failure Clinical Records (UCI Irvine Machine Learning Repositor),229,no,no,no,PASS,,,,,,,,,,
The Deep Promotion Time Cure Model,https://doi.org/10.1109/TNNLS.2024.3398559,V. Medina-Olivares et al.,2024,Deept-PTCM,discrete-time,discrete hazard,no,no,DNN,no,no,no ,no,no,no,no,no,no,yes,no,single-family loan-level data set from Freddie Mac,149561,yes,no,no,PASS,,,,,,,,,,
A Kernel Attention-based Transformer Model for Survival Prediction of Heart Disease Patients,https://doi.org/10.1007/s12265-024-10537-3,P. Kaushal et al.,2024,CosAttnSurv(+DyACT),discrete-time,discrete hazard,yes,,transformer,no,no,no,no,no,no,no,no,no,no,no,"GRACE, COST",514 (COST),no,no,no,PASS,,,,,,,,,,
Neural interval-censored survival regression with feature selection,https://doi.org/10.1002/sam.11704,C. Meixide et al.,2024,Mei2024,parametric,parameters of AFT model,no,,FFNN,no,yes,no,no,no,no,no,yes,no,stability selection,no,T1D Exchange,5971,yes,no,no,PASS,,,,,,,,,,
ctGAN: combined transformation of gene expression and survival data with generative adversarial network,https://doi.org/10.1093/bib/bbae325,J. Kim and J. Seok,2024,ctGAN,GAN-based,???,yes,,GAN,no,no,no,no,no,no,no,yes,no,no,https://github.com/jyoonkim/ctgan,"TCGA (BLCA, BRCA, COAD, HNSC, KIRC, LGG, LIHC, LUAD, LUSC, OV, SKCM, STAD)",333 (TCGA STAD),no,no,no,PASS,,,,,,,,,,
A deep learning approach for overall survival prediction in lung cancer with missing values,https://doi.org/10.1016/j.cmpb.2024.108308,C. Caruso et al.,2024,Car2024,discrete-time,PMF,yes,,transformer,no,no,no,no,no,no,no,no,no,no,https://github.com/cosbidev/OSTransformer,CLARO,297,no,no,no,PASS,,uses DeepHit loss,,,,,,,,
Personalized chemotherapy selection for patients with triple-negative breast cancer using deep learning,https://doi.org/10.3389/fmed.2024.1418800,X. Yang et al.,2024,SNB,Cox-based,hazard rate,yes,,FFNN,no,no,no,no,no,no,no,no,no,SurvSHAP(t),no,SEER,10070,no,no,no,PASS,,github repo available but empty; Cox loss via BITES architecture which is herited by SNB,,,,,,,,
Deep learning survival model predicts outcome after intracerebral hemorrhage from initial CT scan,https://doi.org/10.1177/23969873241260154,Y. Chen et al.,2024,fICHnet ,discrete-time,discrete hazard,no,no,CNN,no,no,no,no,no,no,no,yes,yes,saliency maps,https://github.com/Yutong441/fICHnet,"MGH-ICH, Yale-ICH",159 (Yale-ICH),no,no,no,PASS,,,,,,,,,,
deepAFT: A nonlinear accelerated failure time model with artificial neural network,https://doi.org/10.1002/sim.10152,P. Norman et al.,2024,deepAFT,AFT-based,parameters of AFT model,no,no,FFNN,no,no,no,no,no,no,no,yes,no,no,https://doi.org/10.32614/CRAN.package.dnn,CCTG LY12 lymphoma trial,84,yes,no,no,PASS,,,,,,,,,,
